word,count,category
people,58,9
fatherland,38,9
world,24,9
freedom,23,9
live,22,9
glory,21,9
die,19,9
flag,18,9
land,16,9
salute,16,9
nation,15,9
honour,14,9
long,14,9
peace,14,9
slave,14,9
man,13,9
love,12,9
unity,10,9
heart,10,9
arm,10,9
free,27,4
land,27,4
homeland,21,4
eternal,16,4
blood,16,4
light,15,4
nation,14,4
die,12,4
glory,12,4
break,12,4
vow,12,4
glorious,11,4
world,11,4
live,10,4
freedom,10,4
thousand,10,4
liberty,10,4
brave,10,4
solemn,10,4
death,9,4
land,58,1
free,34,1
stand,28,1
great,26,1
guard,23,1
god,22,1
love,21,1
make,14,1
true,14,1
home,13,1
people,13,1
sea,12,1
thy,12,1
nation,11,1
defend,11,1
strong,10,1
son,9,1
country,9,1
wave,9,1
give,9,1
thy,77,5
land,24,5
god,18,5
love,17,5
homeland,13,5
thousand,12,5
hail,12,5
year,12,5
beloved,12,5
heart,11,5
liberty,11,5
arm,11,5
fatherland,10,5
son,10,5
mother,10,5
country,10,5
life,9,5
peace,9,5
hope,9,5
light,8,5
freedom,20,0
sing,16,0
liberty,16,0
fulfill,16,0
nation,11,0
die,9,0
shout,9,0
glory,8,0
souls,8,0
live,7,0
vow,7,0
god,6,0
oriental,6,0
pronounce,6,0
heroically,6,0
free,6,0
papua,6,0
happiness,6,0
give,5,0
brother,5,0
flag,19,6
sky,10,6
homeland,10,6
ancestor,9,6
star,8,6
sun,7,6
blue,7,6
arise,7,6
peace,6,6
country,6,6
hand,6,6
white,6,6
blood,6,6
salute,6,6
earth,5,6
people,5,6
raise,5,6
love,5,6
sea,5,6
land,5,6
country,45,7
glory,32,7
homeland,23,7
land,22,7
live,20,7
flag,17,7
people,14,7
time,14,7
great,12,7
world,11,7
long,11,7
freedom,10,7
love,9,7
peace,9,7
god,9,7
swear,9,7
good,8,7
nation,8,7
free,8,7
rise,8,7
march,17,2
land,13,2
soldier,12,2
witness,12,2
people,10,2
warrior,10,2
song,9,2
nation,9,2
onward,9,2
live,8,2
god,8,2
arise,8,2
path,8,2
glory,7,2
fire,6,2
blood,6,2
chant,5,2
long,5,2
bless,5,2
build,5,2
god,37,3
bless,29,3
land,28,3
nation,21,3
hail,16,3
people,16,3
heart,15,3
peace,13,3
hand,12,3
unity,12,3
sing,11,3
love,11,3
freedom,10,3
liberty,9,3
long,8,3
work,8,3
free,8,3
island,8,3
live,7,3
build,7,3
god,18,8
land,16,8
lord,15,8
thy,15,8
save,11,8
queen,9,8
love,6,8
nation,5,8
hill,5,8
thine,5,8
people,5,8
bless,5,8
blessing,5,8
peace,5,8
protect,5,8
make,4,8
father,4,8
pray,4,8
art,4,8
reign,4,8
