word,count,category
land,11,16
swear,9,16
home,7,16
fight,6,16
free,6,16
flag,5,16
earth,5,16
sky,5,16
soil,5,16
sacred,4,16
defend,4,16
god,4,16
beautiful,4,16
death,4,16
high,4,16
hand,3,16
fatherland,3,16
place,3,16
live,3,16
honour,3,16
people,21,9
glory,18,9
live,15,9
long,11,9
flag,10,9
freedom,10,9
fatherland,9,9
motherland,8,9
land,8,9
path,8,9
die,6,9
give,6,9
gold,6,9
century,5,9
beloved,5,9
life,5,9
brother,4,9
hand,4,9
forever,4,9
bless,4,9
land,63,18
great,36,18
free,28,18
god,21,18
stand,18,18
people,16,18
love,16,18
guard,14,18
true,13,18
dear,11,18
father,10,18
country,10,18
nation,9,18
mountain,8,18
world,8,18
korean,8,18
river,7,18
son,7,18
heart,7,18
strong,6,18
thy,29,6
god,27,6
land,22,6
defend,16,6
nation,15,6
love,14,6
country,14,6
save,10,6
give,10,6
queen,9,6
peace,9,6
free,9,6
heart,8,6
lord,8,6
stand,7,6
live,7,6
make,7,6
son,6,6
unity,6,6
glorious,5,6
people,8,8
law,7,8
glory,7,8
respect,7,8
freedom,6,8
king,5,8
honour,5,8
nation,5,8
holy,4,8
fatherland,4,8
faithful,4,8
language,4,8
brave,4,8
lord,4,8
heaven,4,8
tyranny,4,8
peace,4,8
time,4,8
lao,4,8
land,3,8
land,14,0
ancestor,11,0
flag,10,0
warrior,10,0
blood,7,0
nation,7,0
sky,6,0
country,6,0
hand,6,0
soul,5,0
fire,5,0
heart,5,0
people,5,0
live,4,0
earth,4,0
thousand,4,0
palestine,4,0
spirit,4,0
glorious,4,0
martyr,4,0
thy,40,1
homeland,39,1
love,22,1
land,22,1
god,14,1
thousand,13,1
life,12,1
glory,11,1
heart,11,1
son,11,1
sky,11,1
hail,11,1
year,10,1
beloved,10,1
mother,10,1
nation,9,1
sun,9,1
peace,9,1
art,9,1
sea,8,1
thy,21,10
hail,19,10
god,9,10
land,8,10
liberty,7,10
glorious,6,10
light,5,10
prevail,5,10
race,5,10
thine,4,10
long,4,10
mighty,4,10
home,4,10
command,4,10
eye,3,10
country,3,10
love,3,10
union,3,10
freedom,3,10
heart,3,10
country,31,3
live,15,3
flag,14,3
happiness,11,3
god,10,3
peace,10,3
land,9,3
world,8,3
long,8,3
nation,8,3
homeland,7,3
motherland,7,3
precious,6,3
good,6,3
glory,6,3
freedom,6,3
free,6,3
fatherland,5,3
child,5,3
give,5,3
arm,22,11
salute,21,11
people,16,11
fatherland,13,11
freedom,11,11
mother,10,11
sea,10,11
glory,9,11
hero,9,11
victory,8,11
nation,8,11
world,8,11
sun,8,11
march,7,11
love,7,11
voice,7,11
land,7,11
rise,7,11
roar,6,11
tyrant,6,11
praise,8,5
freedom,6,5
free,6,5
strong,4,5
world,3,5
god,3,5
land,3,5
motherland,2,5
rightful,2,5
place,2,5
stand,2,5
bless,2,5
nation,2,5
icon,1,5
iconstand,1,5
bright,1,5
mount,1,5
valley,1,5
share,1,5
today,1,5
die,35,4
liberty,25,4
free,23,4
slave,22,4
glory,21,4
fulfill,16,4
live,15,4
homeland,15,4
brave,15,4
freedom,15,4
fight,13,4
land,13,4
war,13,4
song,12,4
soldier,11,4
glorious,11,4
banner,11,4
fatherland,11,4
wave,9,4
swear,9,4
bless,41,17
god,22,17
land,19,17
africa,19,17
people,18,17
nation,11,17
unity,10,17
protect,10,17
love,9,17
stand,9,17
freedom,7,17
liberty,6,17
united,6,17
happiness,6,17
lord,6,17
call,6,17
free,5,17
find,5,17
heart,5,17
build,5,17
make,6,2
brother,5,2
people,5,2
hope,5,2
solomon,4,2
protect,4,2
africa,4,2
sal,4,2
land,3,2
mother,3,2
light,3,2
peace,3,2
island,3,2
fiancand,3,2
pay,3,2
arise,3,2
forever,2,2
god,2,2
work,2,2
lightning,2,2
arise,17,7
march,12,7
great,5,7
god,4,7
wave,4,7
heart,4,7
brave,4,7
gunfire,4,7
nation,3,7
rise,3,7
love,3,7
flag,3,7
crown,3,7
freedom,3,7
build,3,7
people,3,7
die,2,7
live,2,7
power,2,7
cross,2,7
witness,13,15
light,12,15
break,11,15
vow,11,15
homeland,11,15
solemn,10,15
free,9,15
lift,9,15
eternal,9,15
live,7,15
sun,4,15
long,4,15
time,4,15
humiliate,4,15
raise,4,15
god,4,15
determine,4,15
renounce,3,15
cry,3,15
freedom,3,15
fair,6,12
heart,6,12
sing,6,12
weve,5,12
advance,5,12
gift,4,12
land,4,12
bermuda,4,12
strength,4,12
isle,3,12
beauty,3,12
rich,3,12
rare,3,12
people,3,12
toil,3,12
island,3,12
mine,3,12
soil,3,12
joyful,3,12
courage,3,12
onward,7,13
spirit,3,13
long,2,13
zion,2,13
hope,2,13
nation,2,13
land,2,13
unite,2,13
voice,2,13
soar,2,13
march,2,13
build,2,13
heart,1,13
jewish,1,13
soul,1,13
yearns,1,13
end,1,13
east,1,13
eye,1,13
gaze,1,13
sing,11,14
people,11,14
man,9,14
proud,8,14
freedom,6,14
rise,6,14
happiness,5,14
unity,5,14
night,5,14
liberty,5,14
heart,5,14
blood,4,14
long,4,14
forever,4,14
nation,4,14
child,4,14
arise,4,14
soul,4,14
progress,4,14
work,4,14
