word,count,category
fatherland,18,13
live,13,13
land,12,13
hail,12,13
flag,11,13
people,11,13
glory,10,13
long,10,13
god,8,13
swear,8,13
heart,8,13
glorious,8,13
world,7,13
time,6,13
light,6,13
sacred,5,13
hand,5,13
nation,5,13
home,5,13
great,5,13
land,49,1
free,36,1
bless,28,1
people,26,1
stand,25,1
god,21,1
africa,21,1
great,16,1
unity,14,1
peace,13,1
guard,13,1
love,13,1
strong,13,1
brother,12,1
nation,12,1
praise,11,1
make,11,1
freedom,9,1
dear,8,1
work,8,1
land,21,12
warrior,10,12
home,8,12
heart,5,12
fire,5,12
son,4,12
people,4,12
gift,4,12
nation,4,12
palestine,4,12
mountain,3,12
river,3,12
daughter,3,12
beautiful,3,12
ancestor,3,12
hope,3,12
soul,3,12
live,3,12
isle,3,12
long,3,12
thy,83,5
land,49,5
love,29,5
god,22,5
thousand,15,5
heart,13,5
hail,12,5
dear,11,5
nation,11,5
year,11,5
peace,11,5
homeland,10,5
light,10,5
thine,10,5
liberty,10,5
son,10,5
father,9,5
stand,9,5
glory,9,5
life,9,5
sing,10,10
arise,10,10
freedom,9,10
people,8,10
unity,7,10
proud,7,10
courage,7,10
heart,6,10
advance,6,10
soul,5,10
nation,5,10
fair,5,10
child,5,10
country,5,10
land,4,10
king,4,10
law,4,10
god,4,10
soil,4,10
future,4,10
country,47,4
glory,21,4
flag,18,4
live,13,4
people,12,4
ancestor,10,4
land,10,4
long,9,4
time,8,4
peace,8,4
king,7,4
high,7,4
great,7,4
world,7,4
men,6,4
child,6,4
blood,6,4
good,6,4
symbol,6,4
rest,5,4
arm,26,0
glory,24,0
free,21,0
fatherland,19,0
fight,16,0
people,16,0
blood,15,0
world,14,0
death,14,0
liberty,13,0
victory,13,0
rise,13,0
war,13,0
brave,13,0
soil,12,0
chain,11,0
land,11,0
cry,11,0
glorious,11,0
die,11,0
homeland,58,11
live,20,11
people,19,11
eternal,19,11
die,19,11
freedom,18,11
slave,17,11
free,17,11
sun,17,11
peace,16,11
land,15,11
long,13,11
light,13,11
sea,12,11
break,12,11
vow,12,11
flag,11,11
world,11,11
glory,11,11
nation,10,11
people,16,8
march,15,8
witness,12,8
song,11,8
soldier,10,8
arise,8,8
nation,8,8
onward,7,8
path,7,8
build,6,8
chant,5,8
glory,5,8
blood,5,8
heart,5,8
spirit,5,8
live,5,8
wave,4,8
swear,4,8
slave,4,8
roar,4,8
fulfill,16,9
die,13,9
liberty,12,9
nation,7,9
glory,7,9
freedom,7,9
souls,7,9
oriental,6,9
vow,6,9
pronounce,6,9
heroically,6,9
shout,5,9
ready,4,9
battle,4,9
grave,4,9
tyrant,3,9
tremble,3,9
brother,2,9
wake,2,9
join,2,9
salute,19,7
freedom,17,7
nation,16,7
god,12,7
bless,12,7
sing,11,7
live,9,7
protect,9,7
land,8,7
peace,8,7
mother,7,7
flag,7,7
love,7,7
liberty,6,7
hope,6,7
good,6,7
motherland,6,7
raise,5,7
life,5,7
stand,5,7
land,12,2
lord,9,2
god,6,2
grant,5,2
father,5,2
love,5,2
peace,4,2
king,4,2
blessing,4,2
forever,3,2
make,3,2
prince,3,2
true,3,2
wisdom,3,2
give,3,2
guard,2,2
light,2,2
song,2,2
merciful,2,2
eternal,2,2
god,31,6
great,15,6
defend,13,6
land,11,6
save,9,6
queen,9,6
korean,8,6
thy,7,6
make,6,6
country,6,6
free,5,6
zealand,5,6
true,5,6
long,4,6
lord,4,6
give,4,6
nation,4,6
world,4,6
love,4,6
truth,4,6
island,19,3
love,9,3
heart,8,3
land,7,3
nation,6,3
helena,6,3
bermuda,4,3
strength,4,3
faith,4,3
solomon,4,3
hand,4,3
fatherland,4,3
home,3,3
lord,3,3
bless,3,3
live,3,3
sing,3,3
weve,3,3
mine,3,3
long,3,3
