word,count,category
country,53,3
land,48,3
live,43,3
flag,37,3
glory,35,3
people,34,3
nation,29,3
long,28,3
world,27,3
god,26,3
great,22,3
ancestor,21,3
homeland,20,3
forever,18,3
free,18,3
light,18,3
blood,18,3
hand,17,3
heart,17,3
song,17,3
land,120,4
thy,71,4
god,58,4
love,50,4
free,39,4
stand,29,4
bless,28,4
heart,27,4
home,26,4
nation,26,4
hail,25,4
son,23,4
peace,23,4
guard,22,4
island,21,4
homeland,20,4
great,18,4
people,17,4
thousand,17,4
sea,17,4
freedom,47,1
glory,36,1
people,32,1
die,32,1
free,32,1
liberty,31,1
arm,28,1
land,27,1
slave,24,1
fatherland,23,1
nation,23,1
homeland,23,1
blood,21,1
arise,21,1
brave,21,1
great,20,1
war,19,1
vow,19,1
cry,18,1
tyrant,18,1
people,49,2
god,27,2
africa,27,2
nation,23,2
bless,22,2
unity,21,2
sing,20,2
freedom,19,2
brother,18,2
call,16,2
land,15,2
live,15,2
love,15,2
stand,15,2
peace,14,2
liberty,14,2
make,13,2
heart,13,2
free,13,2
die,11,2
homeland,19,0
glory,8,0
thy,8,0
country,6,0
head,5,0
god,5,0
proud,5,0
child,5,0
life,5,0
love,4,0
give,4,0
hope,4,0
unity,3,0
land,3,0
heart,3,0
reach,3,0
heritage,3,0
rich,3,0
coast,3,0
honourable,3,0
