word,count,category
people,16,2
flag,15,2
warrior,12,2
fatherland,11,2
live,11,2
nation,10,2
glory,9,2
long,8,2
land,7,2
struggle,6,2
honour,5,2
freedom,5,2
gold,5,2
united,4,2
sacred,4,2
oath,4,2
man,4,2
earth,4,2
brave,4,2
glorious,4,2
thy,36,11
god,21,11
land,19,11
stand,17,11
guard,14,11
defend,11,11
year,11,11
free,10,11
thousand,10,11
arm,10,11
love,9,11
day,6,11
fatherland,6,11
country,6,11
glorious,5,11
place,5,11
citizen,5,11
make,5,11
tear,5,11
peace,5,11
motherland,13,3
people,8,3
land,8,3
nation,8,3
glory,6,3
beloved,6,3
mother,6,3
thy,5,3
thrill,5,3
bless,4,3
union,4,3
freedom,4,3
beauty,4,3
peace,4,3
love,4,3
live,3,3
long,3,3
brother,3,3
banner,3,3
sweet,3,3
die,36,12
live,23,12
freedom,20,12
liberty,20,12
slave,20,12
swear,19,12
homeland,18,12
free,17,12
fulfill,16,12
glory,15,12
nation,13,12
song,12,12
witness,12,12
time,11,12
peace,11,12
brave,11,12
land,10,12
soldier,10,12
glorious,9,12
blood,8,12
great,18,0
people,14,0
country,13,0
ancestor,12,0
flag,11,0
land,10,0
world,10,0
blood,10,0
love,10,0
nation,10,0
fly,9,0
live,8,0
korean,8,0
die,7,0
spirit,7,0
hand,7,0
long,7,0
soul,6,0
sky,6,0
river,6,0
thy,45,19
land,35,19
love,19,19
son,12,19
sun,12,19
god,11,19
sea,10,19
homeland,9,19
people,9,19
sky,9,19
art,9,19
dear,8,19
heart,8,19
thine,8,19
path,7,19
beloved,7,19
peace,7,19
glory,6,19
invader,6,19
beautiful,5,19
hail,19,6
liberty,8,6
thy,7,6
god,6,6
glorious,5,6
light,4,6
prevail,4,6
land,4,6
heart,4,6
home,4,6
command,4,6
long,3,6
happy,3,6
make,3,6
divinely,2,6
restored,2,6
thine,2,6
eye,2,6
sword,2,6
grave,2,6
land,18,18
home,14,18
love,10,18
oer,7,18
helena,6,18
free,5,18
island,5,18
thousand,4,18
starspangled,4,18
banner,4,18
wave,4,18
brave,4,18
hand,4,18
devotion,3,18
give,3,18
thy,3,18
god,3,18
power,3,18
make,3,18
true,3,18
land,14,4
free,9,4
fair,7,4
son,6,4
hill,5,4
time,5,4
people,5,4
make,4,4
rich,4,4
great,4,4
give,4,4
daughter,4,4
love,4,4
isle,4,4
rest,3,4
green,3,4
island,3,4
dear,3,4
mother,3,4
unite,3,4
fatherland,21,14
land,16,14
precious,10,14
war,7,14
happiness,6,14
world,6,14
beloved,6,14
god,5,14
blood,5,14
dear,4,14
father,4,14
song,4,14
hand,4,14
love,4,14
language,4,14
peace,4,14
joy,3,14
beautiful,3,14
birth,3,14
golden,3,14
salute,19,9
great,17,9
god,16,9
land,16,9
free,15,9
freedom,13,9
praise,11,9
stand,9,9
sing,9,9
people,8,9
nation,8,9
peace,6,9
good,6,9
country,6,9
live,6,9
mother,6,9
joy,5,9
love,5,9
flag,5,9
strong,5,9
bless,39,1
god,22,1
africa,20,1
land,19,1
people,18,1
unity,14,1
nation,13,1
stand,11,1
protect,10,1
love,7,1
liberty,7,1
united,7,1
call,7,1
find,6,1
freedom,6,1
glory,6,1
happiness,6,1
peace,6,1
long,5,1
heart,5,1
homeland,46,5
eternal,15,5
break,13,5
free,13,5
light,13,5
glory,13,5
country,11,5
vow,11,5
live,10,5
long,10,5
solemn,10,5
love,9,5
lift,9,5
land,8,5
sun,8,5
flag,8,5
sky,7,5
peace,7,5
world,7,5
time,7,5
god,15,17
lord,12,17
land,9,17
save,9,17
queen,9,17
papua,6,17
make,5,17
peace,4,17
father,4,17
reign,4,17
give,4,17
free,4,17
blessing,4,17
grant,3,17
prince,3,17
long,3,17
thy,3,17
king,3,17
mother,2,17
song,2,17
people,15,16
fatherland,13,16
world,13,16
rise,12,16
glory,12,16
arm,11,16
freedom,8,16
raise,7,16
cry,7,16
sun,7,16
free,7,16
hero,6,16
march,6,16
flag,6,16
death,6,16
breast,6,16
repeat,6,16
sea,5,16
nation,5,16
fight,5,16
country,17,10
glory,8,10
land,7,10
time,5,10
flag,4,10
nation,3,10
sea,3,10
world,3,10
east,3,10
glorious,2,10
free,2,10
fatherland,2,10
union,2,10
fraternal,2,10
people,2,10
field,2,10
native,2,10
god,2,10
open,2,10
year,2,10
hope,5,7
brother,4,7
africa,4,7
people,4,7
sal,4,7
protect,3,7
fiancand,3,7
pay,3,7
make,3,7
arise,3,7
lightning,2,7
thunder,2,7
sound,2,7
spring,2,7
meet,2,7
answer,2,7
give,2,7
enemy,2,7
young,2,7
promise,2,7
people,10,8
god,7,8
land,7,8
soil,6,8
advance,6,8
courage,6,8
work,5,8
lift,5,8
march,5,8
sing,5,8
freedom,5,8
free,4,8
rise,4,8
country,4,8
bear,4,8
fair,4,8
father,4,8
arise,4,8
give,3,8
ancestor,3,8
sing,13,13
man,10,13
heart,9,13
country,9,13
proud,8,13
rise,8,13
people,8,13
live,7,13
unity,7,13
work,7,13
nation,6,13
happiness,6,13
long,5,13
progress,5,13
night,5,13
liberty,5,13
day,5,13
bermuda,4,13
island,4,13
sun,4,13
arise,17,15
march,8,15
great,5,15
heart,4,15
brave,4,15
gunfire,4,15
flag,3,15
crown,3,15
wave,3,15
freedom,3,15
build,3,15
people,3,15
raise,2,15
god,2,15
refuse,2,15
slave,2,15
flesh,2,15
blood,2,15
wall,2,15
critical,2,15
