word,count,category
thy,84,6
god,42,6
land,39,6
love,23,6
defend,16,6
fatherland,16,6
warrior,15,6
nation,14,6
make,13,6
thousand,12,6
arm,12,6
witness,12,6
live,11,6
heart,11,6
year,11,6
peace,11,6
save,11,6
die,10,6
country,10,6
glory,9,6
homeland,41,3
free,38,3
die,36,3
glory,35,3
freedom,27,3
slave,25,3
liberty,24,3
nation,21,3
live,19,3
vow,19,3
glorious,18,3
world,18,3
war,18,3
people,18,3
light,17,3
land,17,3
blood,17,3
eternal,17,3
fatherland,16,3
brave,16,3
land,58,2
great,39,2
free,29,2
god,22,2
stand,20,2
people,19,2
love,15,2
guard,14,2
true,14,2
nation,13,2
heart,12,2
island,10,2
sea,9,2
hand,9,2
strong,8,2
live,8,2
korean,8,2
mountain,7,2
river,7,2
country,7,2
beloved,16,7
motherland,14,7
land,14,7
thy,12,7
love,11,7
people,10,7
homeland,10,7
nation,10,7
glory,9,7
mother,9,7
peace,8,7
hail,8,7
bless,7,7
sky,7,7
beauty,7,7
god,6,7
son,6,7
live,5,7
freedom,5,7
strong,5,7
live,14,4
king,13,4
hail,13,4
long,12,4
glory,10,4
swear,8,4
law,8,4
god,8,4
land,7,4
freedom,7,4
liberty,7,4
people,7,4
fatherland,6,4
flag,6,4
light,6,4
glorious,6,4
heart,5,4
cry,5,4
gold,5,4
command,5,4
salute,13,5
sea,12,5
mother,11,5
land,9,5
arm,8,5
sun,8,5
freedom,6,5
river,5,5
future,5,5
nation,5,5
son,5,5
love,5,5
world,4,5
bright,4,5
dawn,4,5
past,4,5
homeland,4,5
flag,4,5
ocean,4,5
wave,4,5
land,33,9
father,14,9
love,10,9
lord,10,9
dear,9,9
free,9,9
give,9,9
people,8,9
home,8,9
nation,8,9
peace,8,9
beautiful,7,9
god,7,9
heart,6,9
country,6,9
island,6,9
papua,6,9
live,5,9
birth,5,9
hope,5,9
country,45,8
flag,18,8
glory,16,8
people,12,8
live,12,8
ancestor,12,8
world,11,8
time,10,8
homeland,10,8
long,9,8
peace,8,8
good,8,8
land,8,8
great,7,8
work,6,8
happiness,6,8
god,6,8
free,6,8
valley,5,8
men,5,8
people,36,10
unity,19,10
sing,18,10
africa,15,10
freedom,14,10
heart,12,10
proud,12,10
happiness,12,10
man,11,10
brother,11,10
stand,10,10
work,10,10
sun,10,10
rise,10,10
liberty,10,10
love,9,10
country,9,10
independence,9,10
united,9,10
nation,9,10
bless,37,0
land,22,0
god,21,0
nation,13,0
protect,10,0
africa,9,0
people,8,0
freedom,8,0
glory,6,0
salute,6,0
free,5,0
stand,5,0
peace,5,0
lord,5,0
long,4,0
men,4,0
prayer,4,0
live,4,0
unity,4,0
grant,4,0
arise,19,1
march,14,1
people,6,1
god,5,1
freedom,5,1
build,5,1
great,5,1
nation,4,1
lift,4,1
wave,4,1
bear,4,1
flag,4,1
heart,4,1
brave,4,1
gunfire,4,1
rise,3,1
love,3,1
onward,3,1
crown,3,1
blood,3,1
