word,count,category
glory,39,3
fatherland,34,3
live,28,3
arm,28,3
die,27,3
people,26,3
freedom,22,3
flag,20,3
slave,20,3
march,19,3
free,17,3
brave,16,3
world,16,3
war,15,3
blood,15,3
rise,15,3
cry,14,3
liberty,14,3
arise,14,3
long,14,3
land,73,1
free,53,1
great,29,1
stand,29,1
god,29,1
freedom,19,1
people,19,1
peace,18,1
country,17,1
sing,17,1
nation,16,1
fight,15,1
salute,14,1
guard,14,1
strong,13,1
sea,13,1
love,13,1
heart,12,1
praise,12,1
song,12,1
thy,87,5
land,59,5
god,53,5
love,46,5
country,35,5
nation,33,5
live,23,5
heart,23,5
people,21,5
great,21,5
peace,20,5
give,20,5
true,17,5
thousand,16,5
defend,16,5
make,16,5
free,15,5
glory,14,5
year,13,5
lord,13,5
bless,46,4
god,23,4
land,22,4
people,21,4
nation,14,4
freedom,11,4
glory,10,4
protect,10,4
africa,10,4
love,9,4
beloved,8,4
live,7,4
unity,7,4
country,7,4
stand,6,4
child,6,4
peace,6,4
lord,6,4
salute,6,4
motherland,5,4
homeland,54,2
land,41,2
flag,24,2
long,23,2
country,23,2
world,21,2
hail,21,2
live,20,2
glory,19,2
home,19,2
god,19,2
eternal,18,2
heart,18,2
nation,18,2
freedom,18,2
light,15,2
sky,15,2
love,15,2
free,14,2
sun,14,2
people,36,0
liberty,23,0
die,17,0
fulfill,16,0
africa,15,0
brother,14,0
nation,13,0
freedom,12,0
path,11,0
unity,11,0
glory,11,0
hope,11,0
peace,9,0
great,9,0
call,9,0
voice,9,0
independence,9,0
land,8,0
hero,8,0
find,8,0
