word,count,category
flag,20,0
star,8,0
earth,7,0
sky,7,0
ancestor,6,0
salute,6,0
sacred,5,0
hand,5,0
sun,5,0
country,5,0
white,5,0
raise,5,0
blue,5,0
arise,5,0
land,4,0
dear,4,0
honour,4,0
die,4,0
strength,4,0
head,4,0
brother,11,10
man,10,10
people,10,10
liberty,9,10
sing,8,10
song,8,10
soldier,8,10
island,8,10
die,6,10
chant,6,10
helena,6,10
free,5,10
night,5,10
call,5,10
hand,4,10
forever,4,10
life,4,10
land,4,10
men,4,10
ready,4,10
land,44,12
father,13,12
protect,13,12
free,12,12
dear,11,12
people,9,12
lord,9,12
heart,8,12
live,8,12
nation,8,12
bless,8,12
mountain,6,12
hope,6,12
glory,6,12
long,6,12
give,6,12
papua,6,12
great,5,12
homeland,5,12
love,5,12
thy,73,3
land,38,3
love,22,3
god,15,3
sun,14,3
homeland,14,3
thousand,12,3
glory,12,3
arm,12,3
liberty,11,3
son,10,3
mother,10,3
year,10,3
life,10,3
peace,10,3
sky,10,3
stand,9,3
heart,9,3
tear,9,3
country,9,3
fatherland,14,7
people,11,7
land,10,7
beloved,9,7
world,7,7
nation,7,7
time,7,7
swear,7,7
glory,6,7
live,5,7
light,5,7
spirit,5,7
motherland,4,7
bless,4,7
brotherly,4,7
union,4,7
long,4,7
freedom,4,7
victory,4,7
sky,4,7
live,17,11
king,12,11
witness,12,11
glory,11,11
fatherland,8,11
law,8,11
long,8,11
flag,7,11
people,7,11
cry,6,11
gold,5,11
blood,4,11
freedom,4,11
honour,4,11
high,4,11
kingdom,4,11
peace,4,11
determine,4,11
soul,3,11
swear,3,11
land,16,5
home,11,5
warrior,10,5
homeland,9,5
fire,7,5
nation,7,5
live,6,5
beautiful,5,5
heart,5,5
long,5,5
sea,5,5
blood,5,5
freedom,5,5
sky,4,5
mountain,4,5
ancestor,4,5
rock,4,5
arm,4,5
son,4,5
peace,4,5
hail,21,8
liberty,7,8
light,6,8
people,5,8
glorious,5,8
god,5,8
thy,4,8
sword,4,8
prevail,4,8
home,4,8
command,4,8
sal,4,8
hand,3,8
mother,3,8
weapon,3,8
land,3,8
long,3,8
unite,3,8
arise,3,8
brother,3,8
country,44,1
glory,26,1
homeland,21,1
flag,15,1
land,13,1
live,11,1
long,10,1
time,9,1
people,9,1
world,9,1
eternal,7,1
great,7,1
nation,7,1
life,6,1
good,6,1
peace,6,1
free,6,1
god,6,1
symbol,6,1
proud,5,1
arise,18,13
people,13,13
freedom,11,13
proud,10,13
march,10,13
unity,9,13
sing,9,13
heart,7,13
courage,7,13
god,6,13
rise,6,13
advance,6,13
nation,6,13
great,6,13
future,5,13
bear,5,13
lift,5,13
fair,5,13
blood,5,13
child,5,13
god,49,2
land,25,2
free,23,2
defend,20,2
thy,15,2
bless,15,2
nation,14,2
save,11,2
great,11,2
make,10,2
love,10,2
freedom,10,2
peace,9,2
queen,9,2
lord,8,2
sing,8,2
race,7,2
live,7,2
give,7,2
praise,7,2
love,31,6
land,31,6
great,22,6
true,17,6
guard,16,6
stand,16,6
nation,16,6
people,16,6
god,13,6
free,12,6
salute,12,6
thousand,8,6
korean,8,6
thy,7,6
peace,7,6
justice,7,6
day,7,6
island,7,6
give,6,6
mother,6,6
people,22,9
fatherland,21,9
die,20,9
freedom,18,9
slave,18,9
glory,17,9
free,16,9
war,15,9
arm,13,9
world,13,9
glorious,11,9
live,11,9
homeland,11,9
cry,10,9
rise,10,9
peace,10,9
hero,9,9
repeat,9,9
nation,8,9
raise,8,9
vow,19,14
homeland,16,14
nation,16,14
liberty,16,14
fulfill,16,14
break,14,14
freedom,13,14
free,12,14
light,12,14
solemn,11,14
make,11,14
god,10,14
die,10,14
lift,9,14
eternal,9,14
forever,9,14
people,8,14
africa,8,14
unity,8,14
path,8,14
bless,11,4
land,8,4
god,8,4
hand,6,4
heart,5,4
happiness,5,4
africa,5,4
beauty,4,4
gift,4,4
people,4,4
voice,4,4
work,4,4
onward,4,4
peace,4,4
awake,4,4
unity,4,4
rise,4,4
child,4,4
isle,3,4
rich,3,4
