Label
4
2
10
1
4
13
1
6
1
7
7
7
16
1
5
11
16
7
5
1
18
0
9
16
1
7
11
4
5
18
1
7
5
14
0
16
1
0
9
16
10
1
0
17
5
0
1
5
5
5
10
5
11
3
11
15
7
10
5
1
0
6
7
6
15
1
7
5
5
10
9
8
1
10
17
7
1
3
7
12
3
10
1
9
17
17
6
9
17
9
10
13
1
13
1
13
8
1
10
14
0
10
13
0
16
16
2
2
4
8
13
15
4
11
13
16
9
4
4
1
3
6
12
10
15
12
0
11
4
10
12
10
8
18
0
2
12
9
2
11
1
2
0
8
17
12
6
1
11
2
11
12
10
9
9
5
1
9
10
7
11
9
3
9
11
1
0
5
16
8
8
12
13
17
2
12
13
1
6
9
11
18
13
9
7
0
10
2
11
9
