Label
5
10
6
8
3
7
6
3
6
8
6
7
9
6
8
10
9
8
3
8
9
10
1
4
6
7
6
6
6
2
8
7
2
9
7
1
8
8
10
7
7
8
6
4
9
7
8
10
5
6
6
5
7
6
9
7
10
6
8
10
7
0
5
7
9
8
3
8
10
6
4
4
6
6
6
4
6
3
4
4
6
6
10
1
9
10
2
4
4
1
6
7
3
0
8
7
2
8
6
5
7
6
6
7
7
7
5
5
7
2
9
9
7
3
3
5
1
1
6
8
10
7
2
6
9
9
7
9
2
9
7
6
7
9
7
5
0
10
5
6
8
5
10
0
9
2
7
8
9
5
9
0
9
4
10
0
8
4
6
4
9
3
6
10
1
3
7
5
3
2
2
2
10
7
5
2
3
8
7
1
9
6
10
1
8
7
6
4
10
1
