Label
1
7
5
8
7
1
5
7
7
8
6
2
1
6
0
4
7
8
6
8
7
3
2
3
6
0
2
5
0
2
6
2
0
4
7
5
8
5
2
1
5
8
7
2
4
1
8
0
1
1
5
1
4
5
4
7
7
5
1
6
1
1
7
7
4
8
7
7
0
5
2
2
5
5
6
3
6
6
3
3
3
5
2
2
6
6
4
3
3
2
5
1
8
7
8
1
2
8
5
2
1
2
4
1
7
0
7
7
1
2
4
4
7
7
5
1
7
2
5
8
0
1
2
5
4
4
1
4
2
5
4
5
2
2
1
0
3
2
0
3
8
4
1
3
6
5
1
8
4
2
4
4
5
2
7
0
8
2
5
3
4
2
5
2
4
7
5
0
7
5
4
5
4
6
1
5
4
8
6
4
4
7
8
2
3
7
5
7
4
2
